Year,Month,Temperature Anomaly,UC,Temperature
1890,2,-3.295,0.752,-10.825
1890,3,-1.659,0.897,-3.679
1890,4,0.052,0.582,4.582
1890,5,-0.120,0.560,8.94
1890,6,1.035,0.485,14.605
1890,7,0.560,0.388,16.93
1890,8,-0.695,0.558,14.865
1890,9,0.298,0.436,11.358
1890,10,-0.213,0.386,4.297
1890,11,0.799,0.504,-1.321
1890,12,-2.088,0.592,-9.098
1891,1,-2.653,0.804,-12.443
1891,2,-6.558,0.741,-14.088
1891,3,-2.461,0.559,-4.481
1891,4,-1.257,0.476,3.273
1891,5,-0.147,0.704,8.913
1891,6,-0.347,0.676,13.223
1891,7,-0.420,0.590,15.95
1891,8,0.500,0.740,16.06
1891,9,0.988,0.481,12.048
1891,10,-1.825,0.436,2.685
1891,11,0.887,0.744,-1.233
1891,12,0.992,0.615,-6.018
1892,1,1.264,1.069,-8.526
1892,2,0.971,0.541,-6.559
1892,3,-1.541,0.664,-3.561
1892,4,0.571,0.622,5.101
1892,5,0.835,0.684,9.895
1892,6,-0.667,0.803,12.903
1892,7,-0.649,0.439,15.721
1892,8,-0.844,0.642,14.716
1892,9,-1.564,0.593,9.496
1892,10,-1.284,0.613,3.226
1892,11,-1.649,1.028,-3.769
1892,12,-0.141,0.923,-7.151
1893,1,-3.730,0.467,-13.52
1893,2,-4.178,0.565,-11.708
1893,3,-0.500,0.838,-2.52
1893,4,0.246,0.463,4.776
1893,5,1.014,0.716,10.074
1893,6,1.510,0.991,15.08
1893,7,-0.398,0.717,15.972
1893,8,-0.781,0.778,14.779
1893,9,1.236,0.915,12.296
1893,10,-2.199,0.584,2.311
1893,11,-0.160,0.577,-2.28
1893,12,0.967,0.784,-6.043
1894,1,-3.625,0.784,-13.415
1894,2,0.359,1.563,-7.171
1894,3,0.529,0.871,-1.491
1894,4,-1.395,0.508,3.135
1894,5,-0.057,0.768,9.003
1894,6,1.451,0.924,15.021
1894,7,0.090,0.896,16.46
1894,8,-0.696,0.686,14.864
1894,9,0.021,0.742,11.081
1894,10,-2.036,0.607,2.474
1894,11,-1.609,0.698,-3.729
1894,12,-2.949,0.704,-9.959
1895,1,-4.173,1.818,-13.963
1895,2,2.093,1.363,-5.437
1895,3,2.580,0.633,0.56
1895,4,0.781,0.714,5.311
1895,5,1.119,0.524,10.179
1895,6,0.685,0.340,14.255
1895,7,-0.502,0.947,15.868
1895,8,-1.046,0.520,14.514
1895,9,-0.503,0.418,10.557
1895,10,-1.786,0.512,2.724
1895,11,-1.558,0.651,-3.678
1895,12,-0.969,1.000,-7.979
1896,1,3.466,0.749,-6.324
1896,2,0.813,0.957,-6.717
1896,3,1.283,0.427,-0.737
1896,4,-2.167,0.431,2.363
1896,5,1.113,0.328,10.173
1896,6,0.561,0.503,14.131
1896,7,0.451,0.840,16.821
1896,8,-0.310,0.684,15.25
1896,9,-0.554,0.648,10.506
1896,10,-1.510,0.501,3
1896,11,-2.160,0.569,-4.28
1896,12,-2.310,2.080,-9.32
1897,1,-2.600,0.807,-12.39
1897,2,-1.410,1.489,-8.94
1897,3,-2.565,0.722,-4.585
1897,4,-1.781,0.487,2.749
1897,5,-0.566,0.585,8.494
1897,6,-1.279,0.624,12.291
1897,7,0.227,0.560,16.597
1897,8,-0.395,0.329,15.165
1897,9,0.743,0.643,11.803
1897,10,-0.839,0.582,3.671
1897,11,1.521,0.754,-0.599
1897,12,0.298,0.450,-6.712
1898,1,-1.303,0.964,-11.093
1898,2,-2.647,1.372,-10.177
1898,3,-3.565,1.306,-5.585
1898,4,-1.437,0.781,3.093
1898,5,-0.431,0.742,8.629
1898,6,0.211,0.484,13.781
1898,7,-0.461,0.583,15.909
1898,8,-0.609,0.540,14.951
1898,9,-1.023,0.665,10.037
1898,10,-0.135,0.510,4.375
1898,11,-2.515,0.793,-4.635
1898,12,-0.959,0.523,-7.969
1899,1,-0.175,0.667,-9.965
