Year,Month,Temperature Anamoly,UC,Temperature
1869,3,-1.073,2.239,-16.813
1869,4,-0.773,1.881,-7.373
1869,5,0.694,1.821,3.074
1869,6,-0.058,1.735,9.192
1869,7,-0.172,1.728,12.698
1869,8,-0.725,1.735,10.645
1869,9,0.787,1.826,6.197
1869,10,-0.769,1.829,-2.789
1869,11,-0.674,1.886,-12.184
1869,12,1.007,1.819,-18.693
1870,1,-0.086,2.000,-23.586
1870,2,-0.653,2.079,-21.573
1870,3,-1.931,1.893,-17.671
1870,4,0.191,1.785,-6.409
1870,5,0.378,1.763,2.758
1870,6,1.621,1.964,10.871
1870,7,0.602,1.763,13.472
1870,8,0.051,1.695,11.421
1870,9,0.851,1.712,6.261
1870,10,-0.420,1.781,-2.44
1870,11,1.534,2.391,-9.976
1870,12,1.298,2.141,-18.402
1871,1,-1.268,1.815,-24.768
1871,2,-0.608,2.399,-21.528
1871,3,-0.305,1.987,-16.045
1871,4,-0.186,1.844,-6.786
1871,5,0.703,1.818,3.083
1871,6,0.497,1.814,9.747
1871,7,-0.135,1.779,12.735
1871,8,-0.320,1.719,11.05
1871,9,-0.381,1.693,5.029
1871,10,-0.241,1.725,-2.261
1871,11,-2.320,1.949,-13.83
1871,12,-2.356,1.783,-22.056
1872,1,1.049,2.469,-22.451
1872,2,0.272,1.996,-20.648
1872,3,-1.002,1.947,-16.742
1872,4,-0.771,1.846,-7.371
1872,5,-0.320,1.732,2.06
1872,6,0.364,1.836,9.614
1872,7,0.377,1.795,13.247
1872,8,0.502,1.715,11.872
1872,9,0.411,1.681,5.821
1872,10,-0.269,1.725,-2.289
1872,11,-1.395,1.718,-12.905
1872,12,-2.514,1.991,-22.214
1873,1,-1.155,1.725,-24.655
1873,2,-0.252,1.712,-21.172
1873,3,-0.736,1.774,-16.476
