Year,Month,Temperature Anomaly,UC,Temperature
1795,11,-0.614,3.882,-3.364
1795,12,-1.897,4.392,-8.537
1796,1,3.247,3.737,-5.643
1796,2,1.808,4.122,-6.762
1796,3,-1.498,3.420,-5.778
1796,4,1.309,2.772,2.009
1796,5,0.022,1.415,6.802
1796,6,-0.067,3.875,12.253
1796,7,1.174,2.775,15.364
1796,8,0.833,4.810,13.823
1796,9,-0.115,4.277,8.315
1796,10,-0.321,1.798,2.689
1796,11,-0.739,3.230,-3.489
1796,12,-3.937,4.555,-10.577
1797,1,2.691,6.307,-6.199
1797,2,7.092,4.772,-1.478
1797,3,1.371,5.431,-2.909
1797,4,1.766,6.003,2.466
1797,5,-0.335,4.307,6.445
1797,6,-0.479,3.266,11.841
1797,7,0.801,2.440,14.991
1797,8,0.65,5.086,13.64
1797,9,1.7,4.671,10.13
1797,10,-0.333,2.130,2.677
1797,11,-1.521,2.766,-4.271
1797,12,-0.188,3.242,-6.828
1798,1,0.557,2.455,-8.333
1798,2,2.295,3.479,-6.275
1798,3,-0.376,3.153,-4.656
1798,4,1.215,1.989,1.915
1798,5,3.604,3.095,10.384
1798,6,0.755,1.941,13.075
1798,7,2.353,2.075,16.543
1798,8,1.178,5.181,14.168
1798,9,0.651,2.748,9.081
1798,10,0.58,2.441,3.59
1798,11,0.566,4.778,-2.184
1798,12,-3.179,3.439,-9.819
1799,1,0.746,1.622,-8.144
1799,2,-6.143,2.319,-14.713
1799,3,-2.037,3.663,-6.317
1799,4,-1.091,3.161,-0.391
1799,5,-2.003,1.725,4.777
1799,6,-1.423,2.670,10.897
1799,7,0.076,1.817,14.266
1799,8,-0.967,1.942,12.023
1799,9,-1.188,2.883,7.242
1799,10,-1.08,1.546,1.93
1799,11,3.33,1.668,0.58
1799,12,-2.344,2.816,-8.984
1800,1,-2.883,1.543,-11.773
1800,2,1.44,3.538,-7.13
1800,3,-3.843,2.775,-8.123
1800,4,1.615,1.400,2.315
1800,5,0.041,1.682,6.821
1800,6,-3.11,1.727,9.21
1800,7,-1.727,2.615,12.463
1800,8,-1.066,2.323,11.924
1800,9,-0.804,2.003,7.626
1800,10,-0.058,2.452,2.952
1800,11,1.558,3.305,-1.192
1800,12,1.409,1.838,-5.231
1801,1,0.335,2.537,-8.555
1801,2,-1.286,3.661,-9.856
1801,3,0.474,1.721,-3.806
1801,4,1.392,1.517,2.092
1801,5,3.132,2.624,9.912
1801,6,-1.231,2.952,11.089
1801,7,0.911,3.003,15.101
1801,8,-1.79,2.141,11.2
1801,9,-0.01,1.679,8.42
1801,10,-0.274,5.028,2.736
1801,11,-0.33,1.992,-3.08
1801,12,-3.82,2.959,-10.46
1802,1,-2.181,4.159,-11.071
1802,2,0.98,4.791,-7.59
1802,3,1.454,2.743,-2.826
1802,4,1.56,3.157,2.26
1802,5,-2.287,3.684,4.493
1802,6,-1.108,3.295,11.212
1802,7,-1.5,2.249,12.69
1802,8,0.083,3.437,13.073
1802,9,-1.044,1.851,7.386
1802,10,0.81,3.112,3.82
1802,11,-1.569,2.864,-4.319
1802,12,-1.57,1.375,-8.21
1803,1,-4.665,2.783,-13.555
1803,2,-1.286,4.607,-9.856
1803,3,0.03,3.896,-4.25
1803,4,2.641,1.534,3.341
1803,5,0.107,2.635,6.887
1803,6,-1.011,1.234,11.309
1803,7,0.969,2.558,15.159
1803,8,0.95,3.161,13.94
1803,9,-1.422,1.682,7.008
1803,10,-1.42,4.028,1.59
1803,11,-1.633,1.464,-4.383
1803,12,-4.37,2.771,-11.01
1804,1,-0.427,6.539,-9.317
1804,2,-2.614,2.365,-11.184
1804,3,-3.438,3.272,-7.718
1804,4,-0.104,2.116,0.596
1804,5,1.059,2.276,7.839
1804,6,-0.219,2.140,12.101
1804,7,1.666,1.758,15.856
1804,8,0.559,2.700,13.549
1804,9,0.86,3.896,9.29
1804,10,0.463,1.432,3.473
1804,11,-2.12,4.550,-4.87
1804,12,-4.455,4.997,-11.095
1805,1,-0.962,2.179,-9.852
1805,2,-2.307,1.959,-10.877
1805,3,-0.852,1.522,-5.132
1805,4,-0.918,2.612,-0.218
1805,5,-2.099,2.147,4.681
1805,6,-2.915,2.375,9.405
1805,7,0.377,2.003,14.567
1805,8,0.518,2.435,13.508
1805,9,0.417,4.459,8.847
1805,10,-4.379,3.031,-1.369
1805,11,-1.819,4.580,-4.569
1805,12,-1.595,2.915,-8.235
1806,1,0.778,3.148,-8.112
1806,2,0.362,2.777,-8.208
1806,3,-1.821,1.726,-6.101
1806,4,-1.461,4.053,-0.761
1806,5,0.28,2.119,7.06
1806,6,-2.467,1.868,9.853
1806,7,-1.303,1.896,12.887
1806,8,0.775,2.072,13.765
1806,9,1.429,4.873,9.859
1806,10,-0.872,2.265,2.138
1806,11,-0.304,2.792,-3.054
1806,12,1.433,2.980,-5.207
1807,1,-0.659,5.060,-9.549
1807,2,2.064,1.027,-6.506
1807,3,-1.495,3.296,-5.775
1807,4,-2.112,3.031,-1.412
1807,5,-1.327,1.774,5.453
1807,6,-1.042,2.618,11.278
1807,7,0.861,1.626,15.051
1807,8,2.501,2.704,15.491
1807,9,-1.694,1.700,6.736
1807,10,-1.725,0.853,1.285
1807,11,-1.228,1.863,-3.978
1807,12,-0.386,1.415,-7.026
1808,1,1.219,8.103,-7.671
1808,2,-1.168,2.703,-9.738
1808,3,-2.303,5.349,-6.583
1808,4,-2.671,2.194,-1.971
1808,5,0.817,3.372,7.597
1808,6,0.531,2.375,12.851
1808,7,1.327,2.472,15.517
1808,8,0.964,1.247,13.954
1808,9,0.431,3.040,8.861
1808,10,0.121,4.314,3.131
1808,11,-0.901,2.439,-3.651
1808,12,-4.319,3.022,-10.959
1809,1,-6.515,5.180,-15.405
1809,2,-1.915,3.334,-10.485
1809,3,-2.437,4.498,-6.717
1809,4,-3.397,4.704,-2.697
1809,5,0.595,3.230,7.375
1809,6,-0.404,2.401,11.916
1809,7,0.177,3.791,14.367
1809,8,1.424,3.060,14.414
1809,9,-0.029,2.518,8.401
1809,10,-0.948,5.440,2.062
1809,11,-2.385,3.599,-5.135
1809,12,2.527,3.163,-4.113
1810,1,0.335,3.055,-8.555
1810,2,-0.157,4.697,-8.727
1810,3,-2.927,3.072,-7.207
1810,4,-2.073,2.425,-1.373
1810,5,-3.072,2.982,3.708
1810,6,-1.162,3.629,11.158
